#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 320 200
# Band-Index    1
   0.92113    -17.244296    -17.244297
   0.92511    -17.242704    -17.242704
   0.92908    -17.241128    -17.241128
   0.93306    -17.239570    -17.239571
   0.93704    -17.238037    -17.238038
   0.94102    -17.236521    -17.236521
   0.94500    -17.235026    -17.235026
   0.94897    -17.233547    -17.233547
   0.95295    -17.232093    -17.232093
   0.95693    -17.230650    -17.230650
   0.96091    -17.229229    -17.229229
   0.96489    -17.227829    -17.227829
   0.96886    -17.226453    -17.226453
   0.97284    -17.225100    -17.225100
   0.97682    -17.223767    -17.223767
   0.98080    -17.222456    -17.222456
   0.98478    -17.221167    -17.221167
   0.98876    -17.219892    -17.219892
   0.99273    -17.218655    -17.218655
   0.99671    -17.217434    -17.217434
   1.00069    -17.216225    -17.216225
   1.00467    -17.215047    -17.215047
   1.00865    -17.213891    -17.213891
   1.01262    -17.212764    -17.212764
   1.01660    -17.211659    -17.211659
   1.02058    -17.210575    -17.210575
   1.02456    -17.209514    -17.209514
   1.02854    -17.208479    -17.208479
   1.03251    -17.207471    -17.207472
   1.03649    -17.206489    -17.206489
   1.04047    -17.205531    -17.205531
   1.04445    -17.204603    -17.204603
   1.04843    -17.203696    -17.203696
   1.05241    -17.202811    -17.202811
   1.05638    -17.201950    -17.201951
   1.06036    -17.201115    -17.201115
   1.06434    -17.200314    -17.200315
   1.06832    -17.199539    -17.199540
   1.07230    -17.198784    -17.198784
   1.07627    -17.198057    -17.198058
   1.08025    -17.197357    -17.197357
   1.08423    -17.196678    -17.196678
   1.08821    -17.196026    -17.196026
   1.09219    -17.195401    -17.195402
   1.09616    -17.194804    -17.194805
   1.10014    -17.194237    -17.194238
   1.10412    -17.193703    -17.193703
   1.10810    -17.193191    -17.193191
   1.11208    -17.192706    -17.192706
   1.11606    -17.192252    -17.192253
   1.12003    -17.191828    -17.191828
   1.12401    -17.191424    -17.191424
   1.12799    -17.191043    -17.191044
   1.13197    -17.190695    -17.190696
   1.13595    -17.190371    -17.190372
   1.13992    -17.190073    -17.190074
   1.14390    -17.189808    -17.189808
   1.14788    -17.189571    -17.189571
   1.15186    -17.189361    -17.189361
   1.15584    -17.189180    -17.189180
   1.15981    -17.189030    -17.189031
   1.16379    -17.188901    -17.188901
   1.16777    -17.188806    -17.188806
   1.17175    -17.188736    -17.188736
   1.17573    -17.188694    -17.188694
   1.17971    -17.188680    -17.188680
   1.17971    -17.188680    -17.188680
   1.18668    -17.188680    -17.188681
   1.19366    -17.188683    -17.188683
   1.20064    -17.188683    -17.188683
   1.20761    -17.188692    -17.188692
   1.21459    -17.188699    -17.188699
   1.22157    -17.188713    -17.188713
   1.22854    -17.188723    -17.188724
   1.23552    -17.188736    -17.188737
   1.24250    -17.188748    -17.188748
   1.24947    -17.188767    -17.188767
   1.25645    -17.188793    -17.188793
   1.26343    -17.188819    -17.188820
   1.27040    -17.188842    -17.188842
   1.27738    -17.188858    -17.188858
   1.28436    -17.188887    -17.188887
   1.29133    -17.188903    -17.188904
   1.29831    -17.188932    -17.188932
   1.30529    -17.188959    -17.188959
   1.31226    -17.188995    -17.188996
   1.31924    -17.189028    -17.189028
   1.32622    -17.189058    -17.189059
   1.33319    -17.189089    -17.189089
   1.34017    -17.189134    -17.189134
   1.34715    -17.189168    -17.189168
   1.35412    -17.189201    -17.189201
   1.36110    -17.189242    -17.189242
   1.36808    -17.189272    -17.189273
   1.37505    -17.189312    -17.189312
   1.38203    -17.189352    -17.189352
   1.38901    -17.189390    -17.189391
   1.39598    -17.189425    -17.189425
   1.40296    -17.189467    -17.189468
   1.40994    -17.189509    -17.189509
   1.41691    -17.189546    -17.189546
   1.42389    -17.189582    -17.189582
   1.43087    -17.189624    -17.189625
   1.43784    -17.189666    -17.189666
   1.44482    -17.189706    -17.189706
   1.45180    -17.189751    -17.189751
   1.45877    -17.189790    -17.189790
   1.46575    -17.189833    -17.189833
   1.47273    -17.189885    -17.189885
   1.47970    -17.189926    -17.189926
   1.48668    -17.189958    -17.189958
   1.49366    -17.189994    -17.189994
   1.50064    -17.190029    -17.190029
   1.50761    -17.190073    -17.190073
   1.51459    -17.190108    -17.190109
   1.52157    -17.190138    -17.190138
   1.52854    -17.190176    -17.190176
   1.53552    -17.190207    -17.190207
   1.54250    -17.190243    -17.190244
   1.54947    -17.190280    -17.190280
   1.55645    -17.190311    -17.190311
   1.56343    -17.190353    -17.190354
   1.57040    -17.190382    -17.190382
   1.57738    -17.190418    -17.190419
   1.58436    -17.190450    -17.190450
   1.59133    -17.190471    -17.190471
   1.59831    -17.190490    -17.190490
   1.60529    -17.190522    -17.190522
   1.61226    -17.190559    -17.190559
   1.61924    -17.190591    -17.190591
   1.62622    -17.190614    -17.190614
   1.63319    -17.190639    -17.190639
   1.64017    -17.190654    -17.190654
   1.64715    -17.190674    -17.190674
   1.65412    -17.190692    -17.190692
   1.66110    -17.190713    -17.190713
   1.66808    -17.190737    -17.190737
   1.67505    -17.190746    -17.190746
   1.68203    -17.190762    -17.190763
   1.68901    -17.190775    -17.190776
   1.69598    -17.190781    -17.190781
   1.70296    -17.190789    -17.190789
   1.70994    -17.190798    -17.190798
   1.71691    -17.190805    -17.190806
   1.72389    -17.190809    -17.190809
   1.73087    -17.190807    -17.190807
 
# Band-Index    2
   1.73087    -17.190807    -17.190807
   1.72389    -17.190809    -17.190809
   1.71691    -17.190805    -17.190805
   1.70994    -17.190798    -17.190798
   1.70296    -17.190789    -17.190789
   1.69598    -17.190781    -17.190781
   1.68901    -17.190775    -17.190775
   1.68203    -17.190762    -17.190762
   1.67505    -17.190746    -17.190746
   1.66808    -17.190736    -17.190737
   1.66110    -17.190712    -17.190713
   1.65412    -17.190692    -17.190692
   1.64715    -17.190673    -17.190674
   1.64017    -17.190654    -17.190654
   1.63319    -17.190639    -17.190639
   1.62622    -17.190613    -17.190614
   1.61924    -17.190590    -17.190591
   1.61226    -17.190558    -17.190559
   1.60529    -17.190521    -17.190522
   1.59831    -17.190490    -17.190490
   1.59133    -17.190470    -17.190471
   1.58436    -17.190449    -17.190450
   1.57738    -17.190418    -17.190418
