      #Energy        TDOS
       1.29128      71.72000
       1.37128      99.48000
       1.45028       9.38200
       1.53028      36.54000
       1.60928      34.14000
       1.68928      50.09000
       1.76928      71.13000
       1.84828      32.50000
       1.92828      38.09000
       2.00828      41.88000
       2.08728      61.06000
       2.16728      51.33000
       2.24728      42.10000
       2.32628      24.20000
       2.40628      23.67000
       2.48628      16.81000
       2.56528      12.56000
       2.64528      12.91000
       2.72428      10.14000
       2.80428       2.09600
       2.88428       0.00000
       2.96328       0.00000
       3.04328       0.00000
       3.12328       0.00000
       3.20228       0.00000
       3.28228       0.00000
       3.36228       0.00000
       3.44128       0.00000
       3.52128       0.00000
       3.60128       0.00000
       3.68028       0.00000
       3.76028       0.00000
       3.83928       0.00000
       3.91928       0.00000
