      #Energy        TDOS-UP        TDOS-DOWN
       0.52890       0.00000       0.00000
       0.64890       0.15370      -0.15590
       0.76990       0.18250      -0.18430
       0.89090       0.21880      -0.22550
       1.01190       0.29100      -0.29790
       1.13190       0.34720      -0.35150
       1.25290       0.41940      -0.43310
       1.37390       0.50770      -0.53070
       1.49490       0.59910      -0.69670
       1.61590       0.83170      -1.06900
       1.73590       0.94070     -10.42000
       1.85690       0.64470      -7.58900
       1.97790       1.81600     -22.70000
       2.09890       2.87700     -12.56000
       2.21890       1.52400     -13.16000
       2.33990       1.42300     -15.22000
       2.46090       1.57200     -18.68000
       2.58190       1.07500      -1.43600
       2.70290       1.06300      -1.16000
       2.82290       1.07800      -1.12300
       2.94390       1.21600      -1.23800
       3.06490       0.98210      -0.98570
       3.18590       0.91430      -0.91650
       3.30590       0.89770      -0.90120
       3.42690       0.91910      -0.86560
       3.54790       1.00000      -0.97450
       3.66890       0.87350      -0.96310
       3.78990       1.07300      -0.93030
       3.90990       0.86800      -1.20900
       4.03090       2.37900      -2.23600
       4.15190       1.90500      -1.31700
       4.27290       2.14600      -1.87400
       4.39290       1.84900      -1.78500
       4.51390       2.19600      -2.07600
       4.63490       2.46900      -2.11300
       4.75590       3.27900      -2.28900
       4.87690       4.94500      -2.56700
       4.99690       5.90300      -2.89000
       5.11790       5.07000      -2.86800
       5.23890       3.94200      -4.51300
       5.35990       4.35100      -7.16200
       5.47990       6.72600      -8.69600
       5.60090       6.40400      -8.07000
       5.72190       7.19400      -5.61500
       5.84290       6.39600      -3.87300
       5.96390       5.69300      -6.84000
       6.08390       7.31900      -6.48400
       6.20490      11.47000      -7.17700
       6.32590       4.57500      -6.92900
       6.44690       6.70900      -5.05600
       6.56690       7.97500      -3.74400
       6.68790       7.74900      -8.94500
       6.80890       8.24400      -9.17700
       6.92990       7.78500      -5.83700
       7.05090       4.59100      -6.00700
       7.17090       8.93600      -8.63000
       7.29190       8.52500      -5.63300
       7.41290       9.68500      -6.30700
       7.53390       9.38900      -7.03200
       7.65390       9.47200      -7.65500
       7.77490      12.07000     -12.35000
       7.89590      15.68000      -9.39100
       8.01690      16.35000     -13.49000
       8.13790      13.22000     -15.68000
       8.25790      13.80000     -17.15000
       8.37890      12.68000     -11.66000
       8.49990      10.66000     -12.99000
       8.62090      14.47000     -14.87000
       8.74090      15.39000     -13.30000
       8.86190      13.24000     -14.36000
       8.98290      11.53000     -13.10000
       9.10390      11.48000     -11.29000
       9.22490      16.04000     -12.79000
       9.34490      13.46000     -14.40000
       9.46590      22.86000     -14.23000
       9.58690      10.17000     -13.52000
       9.70790      10.98000     -12.31000
       9.82790      10.77000     -14.45000
       9.94890       7.24100      -9.72200
      10.06990      14.96000     -18.15000
      10.19090      13.90000     -12.53000
      10.31190      11.50000     -12.76000
      10.43190      14.06000     -12.04000
      10.55290       7.45800     -10.12000
      10.67390      10.65000     -11.25000
      10.79490      10.53000     -12.26000
      10.91490      13.14000     -15.97000
      11.03590      10.16000      -9.34700
      11.15690      12.93000     -11.71000
      11.27790      13.15000     -12.37000
      11.39790      13.80000     -10.94000
      11.51890      12.72000     -12.10000
      11.63990      11.38000     -13.09000
      11.76090      10.64000     -12.74000
      11.88190       9.69500     -10.61000
      12.00190      11.88000     -12.28000
      12.12290      13.95000     -12.64000
      12.24390      11.75000     -12.23000
      12.36490      13.71000     -12.91000
      12.48490      12.98000     -14.00000
      12.60590       9.82200     -11.34000
      12.72690      10.45000     -11.46000
      12.84790      12.43000      -9.86000
      12.96890      13.30000     -13.13000
      13.08890      10.57000     -13.22000
      13.20990      10.39000      -9.84100
      13.33090      12.50000      -8.69700
      13.45190       8.35700      -6.29200
      13.57190       1.47500      -4.87600
      13.69290       0.00000      -0.56210
      13.81390       0.00000       0.00000
      13.93490       0.00000       0.00000
      14.05590       0.00000       0.00000
      14.17590       0.00000       0.00000
      14.29690       0.00000       0.00000
      14.41790       0.00000       0.00000
      14.53890       0.00000       0.00000
      14.65890       0.00000       0.00000
      14.77990       0.00000       0.00000
      14.90090       0.00000       0.00000
      15.02190       0.00000       0.00000
      15.14290       0.00000       0.00000
      15.26290       0.00000       0.00000
      15.38390       0.00000       0.00000
