      #Energy        TDOS-UP        TDOS-DOWN
       0.42266       0.91540      -1.04700
       0.54566       1.92700      -1.90400
       0.66866       1.10400      -1.10300
       0.79166       1.13100      -1.13200
       0.91466       1.36500      -1.37800
       1.03766       1.63100      -1.69000
       1.16166       2.06500      -2.18800
       1.28466       2.19600      -2.19700
       1.40766       2.96000      -2.94000
       1.53066       1.78500      -1.83600
       1.65366       0.93340      -1.46200
       1.77666       0.89090     -18.62000
       1.89966       1.76800     -16.25000
       2.02366       1.70900     -49.98000
       2.14666       1.71400     -10.92000
       2.26966       1.47400     -19.97000
       2.39266       1.64800     -60.31000
       2.51566       1.52900      -3.04400
       2.63866       1.56200      -2.62900
       2.76166       1.30800      -1.42100
       2.88466       2.83100      -5.30300
       3.00866       1.12900      -1.14000
       3.13166       0.93400      -0.93250
       3.25466       0.81090      -0.79410
       3.37766       3.10200      -3.03100
       3.50066       2.06700      -2.04500
       3.62366       1.31500      -1.34300
       3.74666       1.94200      -1.09200
       3.87066       2.03500      -1.95200
       3.99366       1.95100      -1.54800
       4.11666       4.24700      -2.74200
       4.23966       5.65900      -4.85800
       4.36266       6.07600      -6.19100
       4.48566       5.53400      -5.89300
       4.60866       4.27500      -3.62600
       4.73166       6.31100      -5.77200
       4.85566      10.10000      -5.14900
       4.97866       9.72800      -4.59900
       5.10166       9.77400      -5.90200
       5.22466       7.18400     -10.24000
       5.34766      10.72000     -13.45000
       5.47066      13.40000     -11.55000
       5.59366      10.45000     -11.25000
       5.71766      14.52000     -13.80000
       5.84066      11.67000     -29.12000
       5.96366       9.13300     -13.13000
       6.08666      12.08000     -16.80000
       6.20966      22.06000     -17.96000
       6.33266      14.79000      -9.77600
       6.45566      15.83000     -15.08000
       6.57866      15.34000     -19.15000
       6.70266      11.76000     -17.69000
       6.82566      19.90000     -21.08000
       6.94866      25.14000     -13.73000
       7.07166      18.08000     -20.18000
       7.19466      14.44000     -15.61000
       7.31766      16.86000     -19.28000
       7.44066      23.63000     -17.45000
       7.56466      21.07000     -14.36000
       7.68766      17.23000     -20.79000
       7.81066      19.90000     -22.61000
       7.93366      25.76000     -27.62000
       8.05666      22.10000     -66.16000
       8.17966      17.08000     -21.46000
       8.30266      19.94000     -23.67000
       8.42566      20.68000     -31.72000
       8.54966      20.51000     -17.23000
       8.67266      20.93000     -23.24000
       8.79566      20.12000     -28.10000
       8.91866      21.38000     -24.60000
       9.04166      27.69000     -21.97000
       9.16466      31.15000     -26.95000
       9.28766      23.61000     -31.53000
       9.41166      31.69000     -39.36000
       9.53466      27.74000     -20.76000
       9.65766      26.07000     -23.84000
       9.78066      19.67000     -24.10000
       9.90366      21.95000     -22.18000
      10.02666      24.16000     -21.91000
      10.14966      27.30000     -22.74000
      10.27266      17.33000     -17.11000
      10.39666      22.39000     -21.14000
      10.51966      28.83000     -22.92000
      10.64266      25.60000     -23.59000
      10.76566      22.84000     -23.86000
      10.88866      17.62000     -23.33000
      11.01166      19.43000     -21.52000
      11.13466      26.04000     -24.88000
      11.25866      22.15000     -22.98000
      11.38166      22.04000     -30.60000
      11.50466      25.09000     -30.81000
      11.62766      21.88000     -25.66000
      11.75066      22.24000     -23.97000
      11.87366      27.56000     -23.89000
      11.99666      25.46000     -24.63000
      12.11966      26.41000     -28.26000
      12.24366      23.55000     -24.56000
      12.36666      24.54000     -25.49000
      12.48966      25.27000     -24.19000
      12.61266      22.20000     -22.62000
      12.73566      50.71000     -24.61000
      12.85866      22.05000     -27.89000
      12.98166      24.44000     -27.67000
      13.10566      27.67000     -20.70000
      13.22866      18.05000     -28.31000
      13.35166       9.04600     -12.22000
      13.47466       2.61900      -3.96800
      13.59766       0.00000       0.00000
      13.72066       0.00000       0.00000
      13.84366       0.00000       0.00000
      13.96666       0.00000       0.00000
      14.09066       0.00000       0.00000
      14.21366       0.00000       0.00000
      14.33666       0.00000       0.00000
      14.45966       0.00000       0.00000
      14.58266       0.00000       0.00000
      14.70566       0.00000       0.00000
      14.82866       0.00000       0.00000
      14.95266       0.00000       0.00000
      15.07566       0.00000       0.00000
      15.19866       0.00000       0.00000
      15.32166       0.00000       0.00000
      15.44466       0.00000       0.00000
      15.56766       0.00000       0.00000
