strain      energy              vbm         cbm         vacuum-level
0.980       -52.13569440        -3.7472     -1.8627     1.823       
0.985       -52.14592858        -3.7461     -1.8696     1.821       
0.990       -52.15344256        -3.7445     -1.8749     1.818       
0.995       -52.15820851        -3.7427     -1.8819     1.816       
1.000       -52.15992945        -3.7397     -1.8901     1.813       
1.005       -52.15874236        -3.7357     -1.8972     1.811       
1.010       -52.15452016        -3.7320     -1.9051     1.808       
1.015       -52.14724656        -3.7267     -1.9141     1.806       
1.020       -52.13696886        -3.7217     -1.9228     1.803       
