#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 180  40
# Band-Index    1
   1.02262    -13.895156  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   1.03997    -13.894728  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   1.05732    -13.893445  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.07467    -13.891341  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.09203    -13.888371  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.10938    -13.884577  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.12673    -13.879950  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.14408    -13.874517  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.16143    -13.868281  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.17878    -13.861257  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.19613    -13.853485  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.21349    -13.844979  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.23084    -13.835728  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.24819    -13.825797  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.26554    -13.815164  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.28289    -13.803929  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.30024    -13.792055  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.31759    -13.779611  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.33495    -13.766636  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.35230    -13.753140  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.36965    -13.739170  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.38700    -13.724802  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.40435    -13.709999  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.42170    -13.694838  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.43905    -13.679368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.45641    -13.663599  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.47376    -13.647632  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.49111    -13.631492  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.50846    -13.615202  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.52581    -13.598818  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.54316    -13.582415  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.56051    -13.565985  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.57787    -13.549596  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.59522    -13.533282  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.61257    -13.517128  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.62992    -13.501155  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.64727    -13.485472  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.66462    -13.470033  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
