#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 180  40
# Band-Index    1
   1.02006    -13.892845  0.762  0.000  0.059  0.001  0.000  0.000  0.002  0.000  0.151  0.975
   1.03738    -13.892148  0.762  0.000  0.059  0.001  0.000  0.000  0.002  0.000  0.151  0.975
   1.05469    -13.890123  0.762  0.000  0.058  0.001  0.000  0.001  0.002  0.000  0.150  0.975
   1.07201    -13.886724  0.761  0.001  0.058  0.001  0.000  0.001  0.002  0.000  0.150  0.975
   1.08932    -13.881980  0.761  0.001  0.058  0.001  0.000  0.002  0.002  0.000  0.149  0.974
   1.10664    -13.875913  0.760  0.002  0.058  0.001  0.000  0.003  0.002  0.000  0.148  0.975
   1.12395    -13.868567  0.759  0.003  0.058  0.001  0.000  0.005  0.002  0.000  0.147  0.975
   1.14126    -13.859952  0.759  0.004  0.058  0.001  0.000  0.006  0.002  0.000  0.145  0.975
   1.15858    -13.850136  0.758  0.006  0.057  0.001  0.000  0.008  0.002  0.000  0.144  0.975
   1.17589    -13.839110  0.757  0.007  0.056  0.001  0.000  0.010  0.002  0.000  0.142  0.975
   1.19321    -13.826955  0.755  0.009  0.056  0.001  0.000  0.013  0.002  0.000  0.139  0.975
   1.21052    -13.813699  0.754  0.010  0.055  0.001  0.000  0.015  0.002  0.000  0.137  0.976
   1.22784    -13.799468  0.753  0.012  0.055  0.001  0.000  0.018  0.002  0.000  0.135  0.975
   1.24515    -13.784221  0.751  0.014  0.055  0.001  0.000  0.021  0.002  0.000  0.132  0.975
   1.26246    -13.768131  0.749  0.016  0.054  0.001  0.000  0.025  0.002  0.000  0.129  0.975
   1.27978    -13.751154  0.747  0.019  0.053  0.001  0.000  0.028  0.002  0.000  0.126  0.976
   1.29709    -13.733452  0.745  0.021  0.052  0.001  0.000  0.032  0.001  0.000  0.123  0.976
   1.31441    -13.715067  0.744  0.023  0.051  0.001  0.000  0.036  0.001  0.000  0.120  0.977
   1.33172    -13.696046  0.741  0.026  0.051  0.001  0.000  0.040  0.001  0.000  0.116  0.977
   1.34904    -13.676517  0.739  0.029  0.049  0.000  0.000  0.045  0.001  0.000  0.113  0.976
   1.36635    -13.656516  0.736  0.031  0.048  0.000  0.000  0.050  0.001  0.000  0.109  0.976
   1.38367    -13.636151  0.734  0.034  0.048  0.000  0.000  0.055  0.001  0.000  0.105  0.977
   1.40098    -13.615510  0.731  0.037  0.047  0.000  0.000  0.060  0.001  0.000  0.101  0.977
   1.41829    -13.594641  0.729  0.040  0.045  0.000  0.000  0.065  0.001  0.000  0.097  0.977
   1.43561    -13.573631  0.726  0.043  0.044  0.000  0.000  0.071  0.001  0.000  0.093  0.978
   1.45292    -13.552563  0.723  0.046  0.043  0.000  0.000  0.077  0.001  0.000  0.089  0.978
   1.47024    -13.531529  0.720  0.049  0.042  0.000  0.000  0.083  0.001  0.000  0.085  0.979
   1.48755    -13.510559  0.717  0.052  0.041  0.000  0.000  0.089  0.001  0.000  0.081  0.980
   1.50487    -13.489785  0.714  0.055  0.040  0.000  0.000  0.095  0.001  0.000  0.077  0.980
   1.52218    -13.469244  0.710  0.058  0.039  0.000  0.000  0.101  0.000  0.000  0.073  0.981
