#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 150 160
# Band-Index    1
   0.62230    -18.358429  0.615  0.000  0.018  0.016  0.000  0.000  0.000  0.000  0.000  0.654
   0.62886    -18.355985  0.615  0.000  0.018  0.016  0.000  0.000  0.000  0.000  0.000  0.654
   0.63542    -18.353310  0.615  0.000  0.018  0.016  0.000  0.000  0.000  0.000  0.000  0.654
   0.64198    -18.350400  0.615  0.000  0.018  0.016  0.000  0.000  0.000  0.000  0.000  0.654
   0.64854    -18.347258  0.615  0.000  0.018  0.016  0.000  0.000  0.000  0.000  0.000  0.654
   0.65510    -18.343882  0.614  0.000  0.018  0.016  0.000  0.000  0.000  0.000  0.000  0.654
   0.66166    -18.340275  0.614  0.000  0.019  0.016  0.000  0.000  0.000  0.000  0.000  0.654
   0.66822    -18.336436  0.614  0.000  0.019  0.016  0.000  0.000  0.000  0.000  0.000  0.654
   0.67478    -18.332363  0.614  0.000  0.019  0.016  0.000  0.000  0.000  0.000  0.000  0.655
   0.68134    -18.328058  0.614  0.000  0.019  0.016  0.000  0.000  0.000  0.000  0.000  0.655
   0.68790    -18.323521  0.614  0.000  0.019  0.016  0.000  0.000  0.000  0.000  0.000  0.655
   0.69446    -18.318750  0.614  0.000  0.019  0.016  0.000  0.000  0.000  0.000  0.000  0.655
   0.70102    -18.313745  0.614  0.000  0.019  0.016  0.000  0.000  0.000  0.000  0.000  0.655
   0.70758    -18.308513  0.614  0.000  0.019  0.016  0.000  0.000  0.000  0.000  0.000  0.655
   0.71414    -18.303046  0.613  0.000  0.019  0.016  0.000  0.000  0.000  0.000  0.000  0.655
   0.72070    -18.297348  0.613  0.000  0.020  0.016  0.000  0.000  0.000  0.000  0.000  0.655
   0.72726    -18.291418  0.613  0.000  0.020  0.016  0.000  0.000  0.000  0.000  0.000  0.655
   0.73382    -18.285258  0.613  0.000  0.020  0.016  0.000  0.000  0.000  0.000  0.000  0.655
   0.74038    -18.278861  0.613  0.000  0.020  0.016  0.000  0.000  0.000  0.000  0.000  0.655
   0.74694    -18.272234  0.613  0.000  0.021  0.016  0.000  0.000  0.000  0.000  0.000  0.655
   0.75351    -18.265373  0.613  0.000  0.021  0.016  0.000  0.000  0.000  0.000  0.000  0.655
   0.76007    -18.258282  0.613  0.000  0.021  0.016  0.000  0.000  0.000  0.000  0.000  0.655
   0.76663    -18.250961  0.613  0.000  0.021  0.016  0.000  0.000  0.000  0.000  0.000  0.655
   0.77319    -18.243406  0.613  0.002  0.021  0.016  0.000  0.000  0.000  0.000  0.000  0.656
   0.77975    -18.235623  0.613  0.003  0.021  0.016  0.000  0.000  0.000  0.000  0.000  0.657
   0.78631    -18.227606  0.613  0.004  0.021  0.016  0.000  0.000  0.000  0.000  0.000  0.657
   0.79287    -18.219358  0.613  0.004  0.021  0.016  0.000  0.000  0.000  0.000  0.000  0.657
   0.79943    -18.210879  0.612  0.004  0.021  0.016  0.000  0.000  0.000  0.000  0.000  0.657
   0.80599    -18.202169  0.612  0.005  0.021  0.017  0.000  0.000  0.000  0.000  0.000  0.656
   0.81255    -18.193226  0.612  0.005  0.021  0.017  0.000  0.000  0.000  0.000  0.000  0.656
   0.81911    -18.184053  0.611  0.006  0.021  0.017  0.000  0.000  0.000  0.000  0.000  0.655
   0.82567    -18.174646  0.611  0.006  0.021  0.017  0.000  0.000  0.000  0.000  0.000  0.655
   0.83223    -18.165011  0.611  0.006  0.021  0.017  0.000  0.000  0.000  0.000  0.000  0.655
   0.83879    -18.155147  0.611  0.007  0.021  0.017  0.000  0.000  0.000  0.000  0.000  0.655
   0.84535    -18.145050  0.611  0.007  0.021  0.017  0.000  0.000  0.000  0.000  0.000  0.654
   0.85191    -18.134720  0.612  0.007  0.021  0.017  0.000  0.000  0.000  0.000  0.000  0.654
   0.85847    -18.124162  0.610  0.007  0.021  0.017  0.000  0.000  0.000  0.000  0.000  0.655
   0.86503    -18.113376  0.609  0.007  0.021  0.017  0.000  0.000  0.000  0.000  0.000  0.658
   0.87159    -18.102370  0.609  0.007  0.021  0.017  0.000  0.000  0.000  0.000  0.000  0.656
   0.87815    -18.091909  0.609  0.016  0.019  0.011  0.000  0.000  0.000  0.000  0.000  0.656
