#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 180  40
# Band-Index    1
   1.02262    -13.423170  0.737  0.000  0.054  0.000  0.000  0.000  0.002  0.000  0.137  0.930
   1.03997    -13.422717  0.736  0.000  0.054  0.000  0.000  0.000  0.002  0.000  0.137  0.930
   1.05732    -13.421351  0.736  0.000  0.054  0.000  0.000  0.001  0.002  0.000  0.137  0.930
   1.07467    -13.419108  0.736  0.001  0.054  0.000  0.000  0.001  0.002  0.000  0.136  0.930
   1.09203    -13.415947  0.736  0.001  0.054  0.000  0.000  0.002  0.002  0.000  0.135  0.930
   1.10938    -13.411931  0.735  0.002  0.054  0.000  0.000  0.003  0.002  0.000  0.134  0.930
   1.12673    -13.407051  0.734  0.003  0.054  0.000  0.000  0.005  0.002  0.000  0.133  0.930
   1.14408    -13.401364  0.734  0.004  0.053  0.000  0.000  0.006  0.002  0.000  0.132  0.930
   1.16143    -13.394878  0.733  0.005  0.052  0.000  0.000  0.008  0.001  0.000  0.130  0.930
   1.17878    -13.387614  0.732  0.006  0.052  0.000  0.000  0.010  0.001  0.001  0.128  0.932
   1.19613    -13.379645  0.731  0.008  0.051  0.000  0.000  0.013  0.001  0.001  0.126  0.931
   1.21349    -13.371004  0.729  0.009  0.051  0.000  0.000  0.015  0.001  0.001  0.124  0.931
   1.23084    -13.361714  0.728  0.011  0.050  0.001  0.000  0.018  0.001  0.002  0.121  0.932
   1.24819    -13.351868  0.726  0.013  0.049  0.001  0.000  0.021  0.001  0.003  0.118  0.933
   1.26554    -13.341504  0.721  0.014  0.047  0.005  0.000  0.023  0.001  0.010  0.111  0.934
   1.28289    -13.331251  0.685  0.010  0.033  0.039  0.000  0.017  0.001  0.083  0.068  0.936
   1.30024    -13.323195  0.633  0.001  0.012  0.090  0.000  0.002  0.000  0.193  0.007  0.938
   1.31759    -13.315740  0.630  0.000  0.010  0.094  0.000  0.001  0.000  0.203  0.002  0.940
   1.33495    -13.308066  0.629  0.000  0.009  0.095  0.000  0.000  0.000  0.205  0.001  0.940
   1.35230    -13.300084  0.628  0.000  0.009  0.096  0.000  0.000  0.000  0.205  0.000  0.941
   1.36965    -13.291802  0.629  0.000  0.009  0.096  0.000  0.000  0.000  0.206  0.000  0.941
   1.38700    -13.283286  0.630  0.000  0.009  0.096  0.000  0.000  0.000  0.206  0.000  0.942
